ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,org.apache.commons:commons-lang3,3.17.0,pkg:maven/org.apache.commons/commons-lang3@3.17.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,ch.qos.logback:logback-core,1.5.21,pkg:maven/ch.qos.logback/logback-core@1.5.21,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.commons:commons-compress,1.21,pkg:maven/org.apache.commons/commons-compress@1.21,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.21,pkg:maven/org.apache.commons/commons-compress@1.21,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.logging.log4j:log4j-core,2.24.1,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.1,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.springframework:spring-core,6.2.10,pkg:maven/org.springframework/spring-core@6.2.10,GHSA-jmp9-x22r-554x,CVE-2025-41249,Spring Framework annotation detection mechanism may result in improper authorization,True
maven,org.apache.logging.log4j:log4j-core,2.25.2,pkg:maven/org.apache.logging.log4j/log4j-core@2.25.2,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,ch.qos.logback:logback-core,1.5.23,pkg:maven/ch.qos.logback/logback-core@1.5.23,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.commons:commons-compress,1.22,pkg:maven/org.apache.commons/commons-compress@1.22,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.22,pkg:maven/org.apache.commons/commons-compress@1.22,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.commons:commons-compress,1.22,pkg:maven/org.apache.commons/commons-compress@1.22,GHSA-cgwf-w82q-5jrr,CVE-2023-42503,Apache Commons Compress denial of service vulnerability,True
maven,org.apache.commons:commons-lang3,3.16.0,pkg:maven/org.apache.commons/commons-lang3@3.16.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,org.apache.logging.log4j:log4j-core,2.24.0,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.0,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.apache.commons:commons-lang3,3.10,pkg:maven/org.apache.commons/commons-lang3@3.10,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,org.apache.commons:commons-lang3,3.12.0,pkg:maven/org.apache.commons/commons-lang3@3.12.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,org.apache.commons:commons-compress,1.23.0,pkg:maven/org.apache.commons/commons-compress@1.23.0,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.23.0,pkg:maven/org.apache.commons/commons-compress@1.23.0,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.commons:commons-compress,1.23.0,pkg:maven/org.apache.commons/commons-compress@1.23.0,GHSA-cgwf-w82q-5jrr,CVE-2023-42503,Apache Commons Compress denial of service vulnerability,True
maven,org.apache.commons:commons-compress,1.20,pkg:maven/org.apache.commons/commons-compress@1.20,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.commons:commons-compress,1.20,pkg:maven/org.apache.commons/commons-compress@1.20,GHSA-7hfm-57qf-j43q,CVE-2021-35515,Excessive Iteration in Compress,True
maven,org.apache.commons:commons-compress,1.20,pkg:maven/org.apache.commons/commons-compress@1.20,GHSA-crv7-7245-f45f,CVE-2021-35516,Improper Handling of Length Parameter Inconsistency in Compress,True
maven,org.apache.commons:commons-compress,1.20,pkg:maven/org.apache.commons/commons-compress@1.20,GHSA-mc84-pj99-q6hh,CVE-2021-36090,Improper Handling of Length Parameter Inconsistency in Compress,True
maven,org.apache.commons:commons-compress,1.20,pkg:maven/org.apache.commons/commons-compress@1.20,GHSA-xqfj-vm6h-2x34,CVE-2021-35517,Improper Handling of Length Parameter Inconsistency in Compress,True
maven,org.apache.commons:commons-text,1.9,pkg:maven/org.apache.commons/commons-text@1.9,GHSA-599f-7c49-w659,CVE-2022-42889,Arbitrary code execution in Apache Commons Text,True
maven,org.springframework:spring-core,6.2.8,pkg:maven/org.springframework/spring-core@6.2.8,GHSA-jmp9-x22r-554x,CVE-2025-41249,Spring Framework annotation detection mechanism may result in improper authorization,True
maven,org.apache.logging.log4j:log4j-core,2.23.0,pkg:maven/org.apache.logging.log4j/log4j-core@2.23.0,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,ch.qos.logback:logback-core,1.5.16,pkg:maven/ch.qos.logback/logback-core@1.5.16,GHSA-25qh-j22f-pwp8,CVE-2025-11226,QOS.CH logback-core is vulnerable to Arbitrary Code Execution through file processing,True
maven,ch.qos.logback:logback-core,1.5.16,pkg:maven/ch.qos.logback/logback-core@1.5.16,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.springframework:spring-webmvc,6.2.8,pkg:maven/org.springframework/spring-webmvc@6.2.8,GHSA-r936-gwx5-v52f,CVE-2025-41242,Spring Framework MVC Applications Path Traversal Vulnerability,True
maven,ch.qos.logback:logback-core,1.5.15,pkg:maven/ch.qos.logback/logback-core@1.5.15,GHSA-25qh-j22f-pwp8,CVE-2025-11226,QOS.CH logback-core is vulnerable to Arbitrary Code Execution through file processing,True
maven,ch.qos.logback:logback-core,1.5.15,pkg:maven/ch.qos.logback/logback-core@1.5.15,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.logging.log4j:log4j-core,2.25.0,pkg:maven/org.apache.logging.log4j/log4j-core@2.25.0,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.apache.commons:commons-compress,1.25.0,pkg:maven/org.apache.commons/commons-compress@1.25.0,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.25.0,pkg:maven/org.apache.commons/commons-compress@1.25.0,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,ch.qos.logback:logback-core,1.5.17,pkg:maven/ch.qos.logback/logback-core@1.5.17,GHSA-25qh-j22f-pwp8,CVE-2025-11226,QOS.CH logback-core is vulnerable to Arbitrary Code Execution through file processing,True
maven,ch.qos.logback:logback-core,1.5.17,pkg:maven/ch.qos.logback/logback-core@1.5.17,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.commons:commons-lang3,3.14.0,pkg:maven/org.apache.commons/commons-lang3@3.14.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,org.springframework:spring-webmvc,6.2.9,pkg:maven/org.springframework/spring-webmvc@6.2.9,GHSA-r936-gwx5-v52f,CVE-2025-41242,Spring Framework MVC Applications Path Traversal Vulnerability,True
maven,org.apache.commons:commons-compress,1.24.0,pkg:maven/org.apache.commons/commons-compress@1.24.0,GHSA-4265-ccf5-phj5,CVE-2024-26308,Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file,True
maven,org.apache.commons:commons-compress,1.24.0,pkg:maven/org.apache.commons/commons-compress@1.24.0,GHSA-4g9r-vxhx-9pgx,CVE-2024-25710,Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file,True
maven,org.apache.commons:commons-lang3,3.13.0,pkg:maven/org.apache.commons/commons-lang3@3.13.0,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,org.springframework:spring-core,6.2.9,pkg:maven/org.springframework/spring-core@6.2.9,GHSA-jmp9-x22r-554x,CVE-2025-41249,Spring Framework annotation detection mechanism may result in improper authorization,True
maven,org.apache.commons:commons-lang3,3.11,pkg:maven/org.apache.commons/commons-lang3@3.11,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,ch.qos.logback:logback-core,1.5.22,pkg:maven/ch.qos.logback/logback-core@1.5.22,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.logging.log4j:log4j-core,2.24.3,pkg:maven/org.apache.logging.log4j/log4j-core@2.24.3,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
pypi,fastapi,0.97.0,pkg:pypi/fastapi@0.97.0,PYSEC-2024-38,CVE-2024-24762,FastAPI is a web framework for building APIs with Python 3,True
pypi,jinja2,3.1.2,pkg:pypi/jinja2@3.1.2,GHSA-cpwx-vrp4-4pq7,CVE-2025-27516,Jinja2 vulnerable to sandbox breakout through attr filter selecting format method,True
pypi,jinja2,3.1.2,pkg:pypi/jinja2@3.1.2,GHSA-gmj6-6f8f-6699,CVE-2024-56201,Jinja has a sandbox breakout through malicious filenames,True
pypi,jinja2,3.1.2,pkg:pypi/jinja2@3.1.2,GHSA-h5c8-rqwp-cp95,CVE-2024-22195,Jinja vulnerable to HTML attribute injection when passing user input as keys to xmlattr filter,True
pypi,jinja2,3.1.2,pkg:pypi/jinja2@3.1.2,GHSA-h75v-3vvj-5mfj,CVE-2024-34064,Jinja vulnerable to HTML attribute injection when passing user input as keys to xmlattr filter,True
pypi,jinja2,3.1.2,pkg:pypi/jinja2@3.1.2,GHSA-q2x7-8rv6-6q7h,CVE-2024-56326,Jinja has a sandbox breakout through indirect reference to format method,True
pypi,jinja2,3.1.4,pkg:pypi/jinja2@3.1.4,GHSA-cpwx-vrp4-4pq7,CVE-2025-27516,Jinja2 vulnerable to sandbox breakout through attr filter selecting format method,True
pypi,jinja2,3.1.4,pkg:pypi/jinja2@3.1.4,GHSA-gmj6-6f8f-6699,CVE-2024-56201,Jinja has a sandbox breakout through malicious filenames,True
pypi,jinja2,3.1.4,pkg:pypi/jinja2@3.1.4,GHSA-q2x7-8rv6-6q7h,CVE-2024-56326,Jinja has a sandbox breakout through indirect reference to format method,True
pypi,werkzeug,3.1.4,pkg:pypi/werkzeug@3.1.4,GHSA-87hc-h4r5-73f7,CVE-2026-21860,Werkzeug safe_join() allows Windows special device names with compound extensions,True
pypi,urllib3,2.4.0,pkg:pypi/urllib3@2.4.0,GHSA-2xpw-w6gg-jr37,CVE-2025-66471,urllib3 streaming API improperly handles highly compressed data,True
pypi,urllib3,2.4.0,pkg:pypi/urllib3@2.4.0,GHSA-38jv-5279-wg99,CVE-2026-21441,Decompression-bomb safeguards bypassed when following HTTP redirects (streaming API),True
pypi,urllib3,2.4.0,pkg:pypi/urllib3@2.4.0,GHSA-48p4-8xcf-vxj5,CVE-2025-50182,urllib3 does not control redirects in browsers and Node.js,True
pypi,urllib3,2.4.0,pkg:pypi/urllib3@2.4.0,GHSA-gm62-xv2j-4w53,CVE-2025-66418,urllib3 allows an unbounded number of links in the decompression chain,True
pypi,urllib3,2.4.0,pkg:pypi/urllib3@2.4.0,GHSA-pq67-6m6q-mj2v,CVE-2025-50181,urllib3 redirects are not disabled when retries are disabled on PoolManager instantiation,True
pypi,jinja2,3.1.3,pkg:pypi/jinja2@3.1.3,GHSA-cpwx-vrp4-4pq7,CVE-2025-27516,Jinja2 vulnerable to sandbox breakout through attr filter selecting format method,True
pypi,jinja2,3.1.3,pkg:pypi/jinja2@3.1.3,GHSA-gmj6-6f8f-6699,CVE-2024-56201,Jinja has a sandbox breakout through malicious filenames,True
pypi,jinja2,3.1.3,pkg:pypi/jinja2@3.1.3,GHSA-h75v-3vvj-5mfj,CVE-2024-34064,Jinja vulnerable to HTML attribute injection when passing user input as keys to xmlattr filter,True
pypi,jinja2,3.1.3,pkg:pypi/jinja2@3.1.3,GHSA-q2x7-8rv6-6q7h,CVE-2024-56326,Jinja has a sandbox breakout through indirect reference to format method,True
pypi,idna,3.5,pkg:pypi/idna@3.5,GHSA-jjg7-2v4v-x38h,CVE-2024-3651,Internationalized Domain Names in Applications (IDNA) vulnerable to denial of service from specially crafted inputs to idna.encode,True
pypi,idna,3.5,pkg:pypi/idna@3.5,PYSEC-2024-60,CVE-2024-3651,"A vulnerability was identified in the kjd/idna library, specifically within the `idna",True
pypi,werkzeug,3.1.2,pkg:pypi/werkzeug@3.1.2,GHSA-87hc-h4r5-73f7,CVE-2026-21860,Werkzeug safe_join() allows Windows special device names with compound extensions,True
pypi,werkzeug,3.1.2,pkg:pypi/werkzeug@3.1.2,GHSA-hgf8-39gv-g3f2,CVE-2025-66221,Werkzeug safe_join() allows Windows special device names,True
pypi,werkzeug,3.1.1,pkg:pypi/werkzeug@3.1.1,GHSA-87hc-h4r5-73f7,CVE-2026-21860,Werkzeug safe_join() allows Windows special device names with compound extensions,True
pypi,werkzeug,3.1.1,pkg:pypi/werkzeug@3.1.1,GHSA-hgf8-39gv-g3f2,CVE-2025-66221,Werkzeug safe_join() allows Windows special device names,True
pypi,django,5.2rc1,pkg:pypi/django@5.2rc1,GHSA-6w2r-r2m5-xq5w,CVE-2025-57833,Django is subject to SQL injection through its column aliases,True
pypi,django,5.2rc1,pkg:pypi/django@5.2rc1,GHSA-frmv-pr5f-9mcr,CVE-2025-64459,Django vulnerable to SQL injection via _connector keyword argument in QuerySet and Q objects.,True
pypi,django,5.2rc1,pkg:pypi/django@5.2rc1,GHSA-qw25-v68c-qjf3,CVE-2025-64458,Django has a denial-of-service vulnerability in HttpResponseRedirect and HttpResponsePermanentRedirect on Windows,True
pypi,django,5.2rc1,pkg:pypi/django@5.2rc1,GHSA-rqw2-ghq9-44m7,CVE-2025-13372,Django is vulnerable to SQL injection in column aliases,True
pypi,django,5.2rc1,pkg:pypi/django@5.2rc1,GHSA-vrcr-9hj9-jcg6,CVE-2025-64460,Django is vulnerable to DoS via XML serializer text extraction,True
pypi,urllib3,2.5.0,pkg:pypi/urllib3@2.5.0,GHSA-2xpw-w6gg-jr37,CVE-2025-66471,urllib3 streaming API improperly handles highly compressed data,True
pypi,urllib3,2.5.0,pkg:pypi/urllib3@2.5.0,GHSA-38jv-5279-wg99,CVE-2026-21441,Decompression-bomb safeguards bypassed when following HTTP redirects (streaming API),True
pypi,urllib3,2.5.0,pkg:pypi/urllib3@2.5.0,GHSA-gm62-xv2j-4w53,CVE-2025-66418,urllib3 allows an unbounded number of links in the decompression chain,True
